week,Hour,TPS,,
5,10,3673.907692,8.583896477,9
5,11,4110.892308,9.60488857,10
5,12,4482.126923,10.47225917,11
5,13,4789.634615,11.19073508,12
5,14,5037.461538,11.76976995,12
5,15,5228.642308,12.21645399,13
5,16,5364.188462,12.53315061,13
5,17,5437.019231,12.70331596,13
5,18,5433.984615,12.69622574,13
5,19,5329.796154,12.45279475,13
5,20,5086.015385,11.88321352,12
5,21,4647.007692,10.85749461,11
5,22,3937.919231,9.200745867,10
5,23,2864.676923,6.693170381,7
5,24,2154.576923,5.034058231,6
5,25,994.3423077,2.323229691,3
5,26,437.9961538,1.0233555,2
5,27,325.7153846,0.761017254,1
5,28,520.9423077,1.217154925,2
5,29,918.4769231,2.145974119,3
5,30,1431.326923,3.344221783,4
5,31,1993.742308,4.658276421,5
5,32,2560.203846,5.981784687,6
5,33,3096.319231,7.234390727,8
5,34,3581.857692,8.368826383,9
5,35,4007.715385,9.363820993,10
5,36,4369.846154,10.20992092,11
5,37,4670.273077,10.91185298,11
5,38,4912.030769,11.4767074,12
5,39,5098.153846,11.91157441,12
5,40,5229.653846,12.2188174,13
5,41,5301.473077,12.38661934,13
5,42,5298.438462,12.37952912,13
5,43,5197.284615,12.14318835,13
5,44,4958.561538,11.58542415,12
5,45,4530.680769,10.58570273,11
5,46,3839.8,8.971495327,9
5,47,2792.857692,6.525368439,7
5,48,2099.953846,4.90643422,5
5,49,969.0538462,2.2641445,3
5,50,427.8807692,0.999721423,1
5,51,317.6230769,0.742109993,1
5,52,507.7923077,1.186430625,2
5,53,895.2115385,2.091615744,3
5,54,1394.911538,3.259139107,4
5,55,1944.176923,4.542469446,5
5,56,2496.476923,5.832890007,6
5,57,3018.430769,7.052408339,8
5,58,3492.842308,8.160846514,9
5,59,3907.573077,9.129843638,10
5,60,4260.6,9.954672897,10
5,61,4552.934615,10.6376977,11
5,62,4788.623077,11.18837168,12
5,63,4970.7,11.61378505,12
5,64,5099.165385,11.91393782,12
5,65,5168.961538,12.07701294,13
5,66,5165.926923,12.06992272,13
5,67,5066.796154,11.83830877,12
5,68,4835.153846,11.29708843,12
5,69,4417.388462,10.32100108,11
5,70,3743.703846,8.746971603,9
5,71,2723.061538,6.362293313,7
5,72,2047.353846,4.783537023,5
5,73,944.7769231,2.207422718,3
5,74,416.7538462,0.97372394,1
5,75,309.5307692,0.723202732,1
5,76,495.6538462,1.158069734,2
5,77,872.9576923,2.039620776,3
5,78,1360.519231,3.17878325,4
5,79,1895.623077,4.429025881,5
5,80,2433.761538,5.686358734,6
5,81,2943.576923,6.877516175,7
5,82,3405.85,7.957593458,8
5,83,3809.453846,8.900593098,9
5,84,4154.388462,9.706515098,10
5,85,4439.642308,10.37299605,11
5,86,4669.261538,10.90948957,11
5,87,4846.280769,11.32308591,12
5,88,4971.711538,11.61614845,12
5,89,5039.484615,11.77449676,12
5,90,5036.45,11.76740654,12
5,91,4940.353846,11.54288282,12
5,92,4713.769231,11.01347951,12
5,93,4307.130769,10.06338965,11
5,94,3650.642308,8.529538103,9
5,95,2654.276923,6.201581596,7
5,96,1996.776923,4.665366643,5
5,97,921.5115385,2.153064342,3
5,98,406.6384615,0.950089863,1
5,99,301.4384615,0.704295471,1
5,100,483.5153846,1.129708843,2
5,101,850.7038462,1.987625809,2
5,102,1326.126923,3.09842739,4
5,103,1848.080769,4.317945722,5
5,104,2373.069231,5.544554278,6
